Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Simon Elisor,fr FRA,Famalicão,FW,26,11,10,807,1,1,0,2,0,2.2,1.3
Jefferson Encada,gw GNB,Estrela,"MF,DF",27,8,5,392,0,0,0,1,0,0.0,0.4
Jordi Escobar,es ESP,AVS Futebol,FW,23,3,2,111,0,0,0,0,0,0.2,0.0
Tiago Esgaio,pt POR,Arouca,DF,30,10,8,776,0,0,0,4,0,0.1,0.3
Antonio Espigare,es ESP,Gil Vicente FC,DF,21,3,0,63,0,0,0,0,0,0.0,0.0
Gonçalo Esteves,pt POR,Alverca,MF,21,5,2,163,1,0,0,1,0,0.2,0.0
Luís Esteves,pt POR,Gil Vicente FC,MF,27,10,10,836,3,2,0,2,1,1.4,2.3
Stephen Eustáquio,ca CAN,Porto,MF,28,5,0,156,0,0,0,0,0,0.1,0.2
Omar Fayed,eg EGY,Arouca,DF,22,3,2,180,0,0,0,2,0,0.0,0.0
Vando Félix,gw GNB,Vitória,"MF,DF",23,6,3,319,0,0,0,2,0,0.0,0.0
Joelson Fernandes,pt POR,Gil Vicente FC,"FW,MF",22,6,4,342,1,1,0,1,0,0.8,0.6
Martim Fernandes,pt POR,Porto,DF,19,4,2,144,0,0,0,3,1,0.0,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Roger Fernandes,pt POR,Braga,"MF,FW",19,4,4,325,1,1,0,1,0,0.9,0.1
Martín Fernández,uy URU,Gil Vicente FC,"FW,MF",22,9,4,356,1,1,0,0,0,0.4,0.9
André Ferreira,pt POR,Moreirense,GK,29,4,4,360,0,0,0,1,0,0.0,0.0
Marcelo dos Santos Ferreira,br BRA,Moreirense,DF,36,10,10,900,1,0,0,5,0,1.5,0.0
Pedro Ferreira,pt POR,Santa Clara,MF,27,11,6,606,0,0,0,1,0,0.2,0.2
Daniel Figueira,pt POR,Gil Vicente FC,GK,27,1,0,31,0,0,0,1,0,0.0,0.0
Figueiredo,br BRA,Alverca,FW,24,5,5,284,1,1,0,0,0,0.6,0.7
Mateo Flores,es ESP,Arouca,MF,21,3,0,72,0,0,0,0,0,0.0,0.0
Tiago Fonseca Morais,pt POR,Casa Pia,"FW,MF",22,8,3,307,0,0,0,1,0,0.3,0.7
José Fontán,es ESP,Arouca,DF,25,10,10,887,1,0,0,6,2,0.4,0.1
José Fonte,pt POR,Casa Pia,DF,41,9,9,809,1,0,0,1,0,0.6,0.0
Bernardo Fontes,br BRA,Tondela,GK,23,11,11,990,0,0,0,1,0,0.0,0.0
Lucas França,br BRA,Nacional,GK,29,6,6,540,0,0,0,1,0,0.0,0.0
Iván Fresneda,es ESP,Sporting CP,DF,21,9,7,458,0,0,0,3,0,0.0,0.3
Victor Froholdt,dk DEN,Porto,MF,19,11,11,957,2,3,0,1,0,1.8,2.1
Taichi Fukui,jp JPN,Arouca,MF,21,11,10,862,1,1,0,2,0,0.2,0.1
Tiago Galletto,uy URU,AVS Futebol,"DF,MF",23,5,1,152,0,0,0,1,0,0.0,0.0
García,br BRA,Famalicão,DF,23,2,0,63,0,0,0,0,0,0.0,0.1
Fabrício Garcia,cv CPV,Estoril,"DF,MF",24,5,0,134,0,0,0,0,0,0.2,0.0
Santiago García,es ESP,Gil Vicente FC,MF,24,11,9,743,2,0,0,3,0,1.0,0.3
André Geraldes,pt POR,Casa Pia,"DF,MF",34,11,7,760,0,0,0,2,0,0.1,0.1
Ismaël Gharbi,tn TUN,Braga,MF,21,1,1,68,0,0,0,0,0,0.0,0.0
Alan Godoy,es ESP,Estrela,"FW,MF",22,6,3,299,0,0,0,0,0,0.8,0.0
André Gomes,pt POR,Alverca,GK,21,10,10,900,0,0,0,2,0,0.0,0.0
José Gomes,pt POR,Nacional,DF,29,11,11,959,1,3,0,1,0,1.0,2.4
