Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Juan Castillo,co COL,Vitória Guimarães,GK,23-012,15,15,135,0,0,0,1,0,0.00,0.00
Cristian Castro,co COL,AVS Futebol,DF,25-000,17,17,140,0,0,0,4,1,0.00,0.00
Geny Catamo,mz MOZ,Sporting CP,MF,24-364,14,12,86700,4,2,0,1,0,0.42,0.21
Ivan Cavaleiro,pt POR,Tondela,MF,32-099,13,9,85000,2,0,1,1,0,0.21,0.00
André Ceitil,pt POR,Tondela,DF,30-320,4,0,9800,0,0,0,0,0,0.00,0.00
Tidjany Chabrol,fr FRA,Gil Vicente FC,MF,23-194,7,3,29200,0,0,0,0,0,0.00,0.00
Kevin Chamorro,cr CRC,Rio Ave,GK,25-292,1,1,9000,0,0,0,0,0,0.00,0.00
Charles,br BRA,Vitória Guimarães,GK,31-355,4,4,36000,0,0,0,0,0,0.00,0.00
Atanas Chernev,bg BUL,Estrela,DF,23-306,15,12,102,0,0,0,4,0,0.00,0.00
Chiquinho,pt POR,Alverca,"FW,MF",25-354,5,4,35100,1,0,1,2,0,0.26,0.00
Francisco Chissumba,pt POR,Alverca,MF,20-241,16,14,125,0,0,0,3,0,0.00,0.00
Clayton,br BRA,Rio Ave,FW,27-014,17,16,142,10,4,2,7,1,0.64,0.25
Clebinho,br BRA,Tondela,MF,28-260,9,7,56200,0,0,0,3,0,0.00,0.00
Fábio Conceição,pt POR,Estrela,DF,24-272,2,2,12600,1,0,0,0,0,0.71,0.00
Rodrigo Conceição,pt POR,Tondela,MF,26-023,4,1,14300,0,0,0,0,0,0.00,0.00
Abdu Conté,pt POR,Casa Pia,"MF,DF",27-307,10,9,68800,0,1,0,1,0,0.00,0.13
Alberto costa,pt POR,Porto,DF,22-118,16,13,112,0,5,0,2,0,0.00,0.40
Diogo Costa,pt POR,Porto,GK,26-128,18,18,158,0,0,0,1,0,0.00,0.00
Gonçalo Costa,pt POR,Estoril,"MF,DF",25-341,5,3,24000,0,0,0,1,0,0.00,0.00
João Costa,pt POR,Santa Clara,FW,25-324,7,0,7000,0,1,0,0,0,0.00,1.29
Murilo Costa,br BRA,Gil Vicente FC,"MF,FW",31-086,16,14,118,3,3,0,0,0,0.23,0.23
Yanis Da Rocha,pt POR,Braga,MF,21-260,1,0,2100,0,0,0,0,0,0.00,0.00
Samuel Dahl,se SWE,Benfica,DF,25-327,18,17,151,1,0,0,2,0,0.06,0.00
Amadou Dante,ml MLI,Arouca,DF,25-110,13,7,77100,0,0,0,0,0,0.00,0.00
Mathias De Amorim,pt POR,Famalicão,MF,21-046,17,17,140,1,1,0,4,0,0.06,0.06
Ignacio De Arruabarrena,uy URU,Arouca,GK,29-009,2,2,18000,0,0,0,2,0,0.00,0.00
Zeno Debast,be BEL,Sporting CP,DF,22-093,10,7,68200,0,0,0,2,0,0.00,0.00
Amar Dedić,ba BIH,Benfica,DF,23-160,15,15,130,1,3,0,4,1,0.07,0.21
Deivison,br BRA,Nacional,DF,19-266,3,1,6700,0,0,0,1,1,0.00,0.00
Stéphane Diarra,fr FRA,Alverca,"FW,MF",27-047,2,0,1900,0,0,0,0,0,0.00,0.00
Matheus Dias,br BRA,Nacional,MF,23-261,17,17,138,0,0,0,3,1,0.00,0.00
Ousmane Diomande,ci CIV,Sporting CP,DF,22-052,6,6,50700,0,0,0,1,0,0.00,0.00
Naïs Djouahra,fr FRA,Arouca,MF,26-063,19,18,148,5,1,0,2,0,0.30,0.06
Maho Dorgelès,ci CIV,Braga,MF,21-171,11,7,63700,1,0,0,0,0,0.14,0.00
